iter	Passed	Remaining
0	0	194
1	2	208
2	3	226
3	4	225
4	5	222
5	6	220
6	8	224
7	9	222
8	10	220
9	11	217
10	12	216
11	13	214
12	14	213
13	16	213
14	17	211
15	18	209
16	19	207
17	20	206
18	21	205
19	22	204
20	23	202
21	24	201
22	25	199
23	27	198
24	28	197
25	29	196
26	30	195
27	31	193
28	32	192
29	33	192
30	35	191
31	36	190
32	37	188
33	38	187
34	39	187
35	40	186
36	41	184
37	43	183
38	44	182
39	45	182
40	46	181
41	47	180
42	49	178
43	50	177
44	51	176
45	52	175
46	53	174
47	54	173
48	56	172
49	57	171
50	58	170
51	59	169
52	60	168
53	61	166
54	62	165
55	63	164
56	65	163
57	66	161
58	67	160
59	68	159
60	69	158
61	70	157
62	71	156
63	73	155
64	74	154
65	75	153
66	76	152
67	77	151
68	79	150
69	80	148
70	81	147
71	82	146
72	83	145
73	84	144
74	85	143
75	86	141
76	88	140
77	89	139
78	90	138
79	91	137
80	92	136
81	93	134
82	94	133
83	95	132
84	97	131
85	98	130
86	99	129
87	100	127
88	101	126
89	102	125
90	104	124
91	105	123
92	106	122
93	107	121
94	108	120
95	110	119
96	111	118
97	112	117
98	113	115
99	114	114
100	115	113
101	116	112
102	118	111
103	119	110
104	120	108
105	121	107
106	122	106
107	123	105
108	125	104
109	126	103
110	127	102
111	128	101
112	129	100
113	131	99
114	132	97
115	133	96
116	135	95
117	136	94
118	137	93
119	138	92
120	140	91
121	141	90
122	142	89
123	144	88
124	145	87
125	146	86
126	148	85
127	149	83
128	150	82
129	151	81
130	153	80
131	154	79
132	155	78
133	156	77
134	157	76
135	159	74
136	160	73
137	161	72
138	162	71
139	164	70
140	165	69
141	166	68
142	167	66
143	169	65
144	170	64
145	171	63
146	172	62
147	173	61
148	174	59
149	176	58
150	177	57
151	178	56
152	179	55
153	181	54
154	182	52
155	183	51
156	184	50
157	185	49
158	187	48
159	188	47
160	189	45
161	190	44
162	192	43
163	193	42
164	194	41
165	195	40
166	196	38
167	197	37
168	199	36
169	200	35
170	201	34
171	203	33
172	204	31
173	205	30
174	206	29
175	207	28
176	208	27
177	210	25
178	211	24
179	212	23
180	213	22
181	214	21
182	215	20
183	217	18
184	218	17
185	219	16
186	220	15
187	221	14
188	223	12
189	224	11
190	225	10
191	227	9
192	228	8
193	229	7
194	230	5
195	232	4
196	233	3
197	234	2
198	235	1
199	237	0
