iter	Passed	Remaining
0	1	375
1	5	520
2	9	634
3	12	625
4	16	635
5	19	620
6	21	597
7	23	574
8	26	563
9	28	547
10	31	533
11	33	529
12	35	517
13	38	510
14	41	506
15	43	501
16	46	495
17	48	492
18	51	488
19	53	485
20	56	480
21	58	476
22	61	471
23	64	472
24	67	475
25	70	471
26	73	468
27	75	463
28	78	460
29	80	458
30	83	454
31	86	452
32	89	451
33	91	447
34	94	446
35	97	443
36	99	440
37	102	435
38	104	431
39	106	427
40	108	422
41	111	421
42	114	418
43	116	413
44	119	410
45	121	407
46	124	406
47	127	403
48	129	399
49	132	396
50	134	392
51	147	418
52	149	414
53	152	411
54	154	408
55	157	404
56	159	400
57	161	395
58	164	392
59	166	388
60	169	386
61	172	383
62	175	380
63	177	376
64	179	373
65	181	369
66	184	365
67	186	361
68	188	358
69	191	355
70	193	351
71	195	348
72	198	344
73	200	341
74	202	337
75	204	334
76	207	331
77	209	327
78	211	324
79	213	320
80	216	318
81	218	314
82	220	311
83	223	308
84	225	305
85	227	302
86	230	299
87	233	296
88	235	294
89	238	291
90	240	288
91	243	285
92	245	282
93	248	280
94	251	277
95	253	274
96	256	272
97	258	269
98	261	266
99	263	263
100	266	261
101	269	258
102	271	255
103	274	253
104	276	250
105	279	247
106	282	245
107	284	242
108	287	239
109	289	236
110	292	234
111	294	231
112	297	228
113	299	226
114	302	223
115	304	220
116	307	218
117	309	215
118	312	212
119	315	210
120	317	207
121	320	204
122	322	202
123	325	199
124	328	196
125	330	194
126	333	191
127	335	188
128	338	186
129	342	184
130	345	181
131	347	179
132	350	176
133	352	173
134	362	174
135	364	171
136	366	168
137	369	165
138	371	163
139	373	160
140	376	157
141	378	154
142	380	151
143	382	148
144	385	146
145	387	143
146	389	140
147	392	137
148	395	135
149	397	132
150	400	129
151	402	127
152	405	124
153	407	121
154	410	119
155	412	116
156	415	113
157	417	111
158	420	108
159	422	105
160	425	103
161	428	100
162	430	97
163	433	95
164	435	92
165	438	89
166	440	87
167	443	84
168	445	81
169	449	79
170	482	81
171	484	78
172	486	75
173	489	73
174	491	70
175	493	67
176	496	64
177	498	61
178	501	58
179	503	55
180	505	53
181	508	50
182	510	47
183	513	44
184	515	41
185	517	38
186	520	36
187	522	33
188	524	30
189	527	27
190	529	24
191	531	22
192	533	19
193	536	16
194	540	13
195	544	11
196	546	8
197	549	5
198	551	2
199	553	0
